,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links,Name
69,RepMikeRogersAL,2021-06-14T15:09:03.000Z,"Incredibly grateful for all the brave men and women who have served and are currently serving in our Armed Forces. 
 
#FlagDay 🇺🇸 https://t.co/LICxY1GO2E",",",",FlagDay,",",",",https://t.co/LICxY1GO2E,",
70,Robert_Aderholt,2021-06-17T14:51:14.000Z,"This decision is a monumental win for religious liberty.  The court's 9-0 decision, with even the liberal justices joining in, shows how important religious liberty is to the very foundation of our country.",",",",",",",",",
71,Robert_Aderholt,2021-06-17T14:51:14.000Z,"The SCOTUS decision in Fulton v. City of Philadelphia is a win for religious freedom and for life. Finding a home for foster children will always be important work, and it’s crucial we protect faith based groups that undertake this loving service.",",",",",",",",",
72,Robert_Aderholt,2021-06-16T18:10:37.000Z,RT @ACUFoundation: We appreciate all the hard work from @Robert_Aderholt who earned our Award for Conservative Achievement. Keep up the gre…,",ACUFoundation,",",",",",",",
73,Robert_Aderholt,2021-06-16T13:43:30.000Z,"I was proud to sign on to this letter. The VA needs to be focused on improving and saving lives, not ending life. https://t.co/dY56ZU9OFj",",",",",",",",https://t.co/dY56ZU9OFj,",
74,Robert_Aderholt,2021-06-15T17:33:25.000Z,I am cosponsoring the Defund Wuhan Institute of Virology Act so that American taxpayer dollars never fund the Wuhan lab again.,",",",",",",",",
75,Robert_Aderholt,2021-06-15T17:33:24.000Z,"Just last year, Xi Jinping said “Science has no borders, but scientists have a motherland”. This mindset of the CCP and their refusal to allow a full investigation into the Wuhan lab is beyond unacceptable. 
https://t.co/MwdWkucaAh",",",",",",",",https://t.co/MwdWkucaAh,",
76,Robert_Aderholt,2021-06-14T14:00:37.000Z,"The Stars and Stripes represent freedom, hope, and the greatest Nation in the world. I am proud to stand for our flag and our country. 

Happy #FlagDay everyone! 🇺🇸 https://t.co/yvMRhZ1Y7g",",",",FlagDay,",",",",https://t.co/yvMRhZ1Y7g,",
77,Robert_Aderholt,2021-06-12T23:11:04.000Z,I’m sending my condolences to everyone at ⁦@abc3340⁩. But especially to Chris’ family. He leaves behind his wife and three young sons. I hope you will join me in lifting them up in prayer.  https://t.co/LIN8apqWH3,",",",",",abc3340,",",https://t.co/LIN8apqWH3,",
78,RepMoBrooks,2021-06-17T20:42:07.000Z,"Congratulations to Madison, AL native @hartingz for winning the 200-meter butterfly last night and qualifying for the Tokyo Olympics! Best of luck to Zach! You’ve made your community so proud with this monumental achievement! https://t.co/6Dz8yjZ1va",",",",",",hartingz,",",https://t.co/6Dz8yjZ1va,",
79,RepMoBrooks,2021-06-17T17:49:35.000Z,Holding the Chinese Communist Party accountable for COVID-19 does not equate to generating anti-Asian hatred. For the fake news media to suggest that’s the case demonstrates their clear liberal bias and false equivalence. I will not stand for it. https://t.co/Ib8phdocei,",",",",",",",https://t.co/Ib8phdocei,",
80,RepMoBrooks,2021-06-17T17:41:18.000Z,"RT @RepJeffDuncan: My bill, The Eliminating Foreign Intervention in Elections Act, will prevent illegals &amp; non-citizens from voting in our…",",RepJeffDuncan,",",",",",",",
81,RepMoBrooks,2021-06-17T15:51:09.000Z,"Biden’s @ATFHQ continues to trample on the 2nd Amendment Rights of law-abiding gun owners, this time by trying to unlawfully tax and take away the ability of millions of Americans to own pistol stabilizing braces. I joined @RepRichHudson &amp; 140 of my colleagues in opposing this. https://t.co/B4XvoJHyUE",",",",",",ATFHQ,RepRichHudson,",",https://t.co/B4XvoJHyUE,",
82,RepMoBrooks,2021-06-16T20:58:45.000Z,"President Biden is sending Russia and the rest of the world the message that it’s ok to launch cyber-attacks against America, just don’t hit the things on our list. ALL of America should be off-limits from attacks, and any other policy position is unacceptable. https://t.co/eXog49QmxB",",",",",",",",https://t.co/eXog49QmxB,",
83,RepMoBrooks,2021-06-16T18:12:11.000Z,I’ve cosponsored @RepMTG's Fire Fauci Act. Dr. Fauci should be held accountable for his COVID-19 response incompetence. He is consistent in just one thing: inconsistency! https://t.co/1CqieZE1cv,",",",",",RepMTGs,",",https://t.co/1CqieZE1cv,",
84,RepMoBrooks,2021-06-16T13:40:07.000Z,".@ericswalwell's team lied when they denied their teammate illegally trespassed into my home. Well, the home security video, Huntsville PD, the Madison County District Attorney’s office, a warrant magistrate and an arrest warrant all say differently. https://t.co/98ah1Sv9Rd",",",",",",ericswalwells,",",https://t.co/98ah1Sv9Rd,",
85,RepMoBrooks,2021-06-15T23:35:00.000Z,"Like I told @newsmax, it's clear that Joe Biden is losing his mental acumen, and he's not able to effectively advance America's interests on the world stage. Biden is unwilling or unable to put America First. Adversaries will eat our lunch as long as Biden allows it. https://t.co/wVft4BrHwg",",",",",",newsmax,",",https://t.co/wVft4BrHwg,",
86,RepMoBrooks,2021-06-15T22:14:28.000Z,DACA amnesty is a subversion of the Rule of Law and a betrayal of American families. It is disgraceful for the United States Department of Homeland Security to be advocating for policies so detrimental to the Americans they have sworn an oath to serve and protect. https://t.co/Ad9czSi3pV,",",",",",",",https://t.co/Ad9czSi3pV,",
87,RepMoBrooks,2021-06-15T22:11:18.000Z,My fellow cosponsors of the Fire Fauci Act demand accountability for Fauci’s negligent handling of COVID-19. It’s time to #FireFauci. WATCH my remarks from this afternoon’s Capitol news conference hosted by @RepMTG. https://t.co/9QLo6mUTgS,",",",FireFauci,",",RepMTG,",",https://t.co/9QLo6mUTgS,",
88,RepMoBrooks,2021-06-15T21:56:12.000Z,"RT @ACUFoundation: For 10 years running, @RepMoBrooks has earned awards from ACU for his outstanding voting record. Congrats, Congressman!…",",ACUFoundation,",",",",",",",
89,RepMoBrooks,2021-06-15T18:51:03.000Z,"I joined @RepMTG &amp; several of my GOP colleagues in calling for the firing of Dr. Fauci. Fauci has been consistently wrong about COVID-19 &amp; his decisions have cost taxpayer dollars, livelihoods, and lives. It's time to fire Fauci so he can’t further damage America. #FireFauci https://t.co/h4JVbgmUnr",",",",FireFauci,",",RepMTG,",",https://t.co/h4JVbgmUnr,",
90,RepMoBrooks,2021-06-15T15:09:08.000Z,".@RepJerryCarl &amp; I were joined by 6 of our @HASCRepublicans colleagues in urging the Biden Admin to adequately fund America’s missile defense programs, which are among our nation’s most effective deterrents and are crucial to national security. https://t.co/YusackcxuO",",",",",",RepJerryCarl,HASCRepublicans,",",https://t.co/YusackcxuO,",
91,RepMoBrooks,2021-06-15T12:00:02.000Z,I'm cosponsoring HR 3537 by @RepMikeQuigley that directs @HHSGov to support research on investigational drugs for ALS and expand access to these drugs. ALS is a debilitating disease that affects many families in AL-05. I aim to ensure they get access to all treatment options.,",",",",",RepMikeQuigley,HHSGov,",",",
92,RepMoBrooks,2021-06-14T23:00:00.000Z,"Happy Birthday, 🐐. #TwitterlessTrump https://t.co/4sDyYbT1kK",",",",TwitterlessTrump,",",",",https://t.co/4sDyYbT1kK,",
93,RepMoBrooks,2021-06-14T21:20:00.000Z,"On this #FlagDay, we honor Old Glory, which is a beacon of hope and freedom around the world. 4 U.S.C. § 8 states, “the flag represents a living country and is itself considered a living thing.” That is why today, and every day, I STAND for our flag. https://t.co/V1YkSSRf30",",",",FlagDay,",",",",https://t.co/V1YkSSRf30,",
94,RepMoBrooks,2021-06-14T19:23:02.000Z,"Happy birthday to our Nation’s first fighting force, the @USArmy. First led by George Washington, the U.S. Army became known as a beacon of freedom in the face of tyranny, and has been defending freedom for all the last 246 years. America is forever indebted. https://t.co/gESlHLMw6u",",",",",",USArmy,",",https://t.co/gESlHLMw6u,",
95,RepMoBrooks,2021-06-14T19:06:40.000Z,"RT @yhn: .@RepMoBrooks, @RepJerryCarl request increased funding for missile defense
By @jtimhowe https://t.co/2qFkzMDqC3",",yhn,",",",",",",",
96,RepMoBrooks,2021-06-14T14:22:37.000Z,A big thank you to Donna Skipper and the Azalea City Republican Women for inviting me to speak to their group. I met some great patriots during the meet-and-greet and got to update them on the latest in Washington and answer all their questions! https://t.co/0xoaLVTBpG,",",",",",",",https://t.co/0xoaLVTBpG,",
97,RepMoBrooks,2021-06-14T13:03:13.000Z,We must adequately fund our nation’s most effective and vital deterrents.,",",",",",",",",
98,RepMoBrooks,2021-06-14T13:03:13.000Z,"If we don’t robustly support missile defense programs, America will be less prepared to defend itself against attack and rogue nations might attempt to exploit missile defense weaknesses. America must never allow our adversaries to mistakenly believe they can defeat us.",",",",",",",",",
99,RepMoBrooks,2021-06-14T13:03:12.000Z,My House Armed Services Committee colleagues and I were extremely disappointed to see President Joe Biden’s $8.9 billion budget request for Fiscal Year 2022 fall short of the $10.5 billion enacted in Fiscal Year 2021.,",",",",",",",",
100,RepMoBrooks,2021-06-14T13:03:12.000Z,America’s national security hinges on our ability to defend against missile and rocket attacks from our adversaries. https://t.co/ARrdMMc04u,",",",",",",",https://t.co/ARrdMMc04u,",
101,USRepGaryPalmer,2021-06-18T16:10:24.000Z,Alabama continues to recover! https://t.co/CIlOsVqLTe,",",",",",",",https://t.co/CIlOsVqLTe,",
102,USRepGaryPalmer,2021-06-17T20:58:50.000Z,"RT @GOPpolicy: While DC Democrats turn a blind eye to the potentially massive unemployment fraud during the pandemic, we are glad to see le…",",GOPpolicy,",",",",",",",
103,USRepGaryPalmer,2021-06-17T20:04:17.000Z,"RT @repdarrellissa: Half of all pandemic unemployment money may have been stolen by criminals. 

I joined with @RepJamesComer and @USRepGar…",",repdarrellissa,",",",",",",",
104,USRepGaryPalmer,2021-06-17T17:06:57.000Z,Pandemic-related unemployment fraud over the last year has amounted to one of the greatest thefts of American tax dollars in history. It's time for better oversight from Congress so that this never happens again. https://t.co/VG41ZKkyVx,",",",",",",",https://t.co/VG41ZKkyVx,",
105,USRepGaryPalmer,2021-06-17T14:48:24.000Z,Excellent news! https://t.co/KYX2YsY0DE,",",",",",",",https://t.co/KYX2YsY0DE,",
106,USRepGaryPalmer,2021-06-16T19:30:00.000Z,"I was pleased to speak on the House floor to honor the memory of #AL06 resident and veteran, Frederick Aurelius ""Rele"" Evans, a hard worker and talented Air Force pilot and scientist. I'm grateful for his contributions and extend condolences to his family.
https://t.co/mRePhTBBNY",",",",AL06,",",",",https://t.co/mRePhTBBNY,",
107,USRepGaryPalmer,2021-06-16T17:09:35.000Z,I'm live now with @ProjectK9Hero! Tune in over at their Facebook Page: https://t.co/7WastGI7Kj,",",",",",ProjectK9Hero,",",https://t.co/7WastGI7Kj,",
108,USRepGaryPalmer,2021-06-16T16:33:05.000Z,"Thank you, @ACUConservative, for honoring me with your Award for Conservative Excellence! https://t.co/3hvkvjjGRc",",",",",",ACUConservative,",",https://t.co/3hvkvjjGRc,",
109,USRepGaryPalmer,2021-06-16T14:42:33.000Z,Proud to sign on to this letter defending the lives of the unborn. Taxpayer funding should never be used to fund abortion. https://t.co/dB7tFS2aFV,",",",",",",",https://t.co/dB7tFS2aFV,",
110,USRepGaryPalmer,2021-06-16T14:41:30.000Z,RT @HouseCommerce: 🚨 Today @HouseCommerce is holding a Subcommittee on Environment and Climate Change markup considering three bills. Be su…,",HouseCommerce,",",",",",",",
111,USRepGaryPalmer,2021-06-16T13:18:35.000Z,"RT @ProjectK9Hero: Today at 1pm EST / 12pm CST, PK9H-TV, Live on our Project K-9 Hero Facebook Page! Don’t Miss It! - #JJK9 https://t.co/sI…",",ProjectK9Hero,",",",",",",",
112,USRepGaryPalmer,2021-06-15T19:27:18.000Z,"RT @GOPpolicy: Small businesses did everything they could to survive the pandemic. Sadly, many didn't make it. Even worse, those that survi…",",GOPpolicy,",",",",",",",
113,USRepGaryPalmer,2021-06-15T19:25:37.000Z,Prices for basic necessities have been steadily rising and are expected to increase even more in the days ahead. Wasteful spending and crippling government regulations have consequences. https://t.co/OyXSyY6824,",",",",",",",https://t.co/OyXSyY6824,",
114,USRepGaryPalmer,2021-06-15T19:24:37.000Z,RT @HouseCommerce: Yesterday’s @HouseCommerce forum hosted by @RepMcKinley showed Americans cannot afford the Biden administration’s radica…,",HouseCommerce,",",",",",",",
115,USRepGaryPalmer,2021-06-15T16:41:41.000Z,"The Biden Admin's open border policies have led to concerning increases in drug smuggling and human trafficking, confirmed by the @FBI director. Yet the Biden Admin still has not offered a solution.
https://t.co/e4prtVA3Yc",",",",",",FBI,",",https://t.co/e4prtVA3Yc,",
116,USRepGaryPalmer,2021-06-14T20:44:54.000Z,RT @HouseCommerce: 🚨 Tune in NOW to the @HouseCommerce forum on the harm of Biden’s radical environmental agenda on the American people and…,",HouseCommerce,",",",",",",",
117,USRepGaryPalmer,2021-06-14T18:38:17.000Z,"Happy #FlagDay, America! I'm proud to pledge allegiance to our flag, which has stood for over 200 years as a symbol of hope and liberty and opportunity around the world. https://t.co/EmoPdTh107",",",",FlagDay,",",",",https://t.co/EmoPdTh107,",
118,USRepGaryPalmer,2021-06-14T17:09:55.000Z,"RT @HouseGOP: In May, 934 POUNDS of fentanyl was seized at our southern border, this is a 300% INCREASE from May 2020. 

Biden’s border cri…",",HouseGOP,",",",",",",",
