,Unnamed: 0,Name,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links
9913,9913,Kirsten Gillibrand,SenGillibrand,2021-06-09T14:43:15.000Z,"This last election, we saw people clear hurdle after hurdle to get to the voting booth, because they know it's the one place where everyone has an equal say in the future of this country.

And now, we're watching lawmakers place even more hurdles in their path. #ForThePeopleAct",$,ForThePeopleAct,$,$
9914,9914,Kirsten Gillibrand,SenGillibrand,2021-06-09T14:40:55.000Z,"I'm live now in front of the Supreme Court to rally for the #ForThePeopleAct.
https://t.co/3LKcXeyftI",$,ForThePeopleAct,$,https://t.co/3LKcXeyftI
9915,9915,Kirsten Gillibrand,SenGillibrand,2021-06-08T19:30:22.000Z,"Paid leave is overwhelmingly popular — even with Republicans. It's time for Congress to catch up with the rest of the country and finally pass universal, guaranteed paid leave for every family. https://t.co/ikC7ZS7QQm",$,$,$,https://t.co/ikC7ZS7QQm
9916,9916,Kirsten Gillibrand,SenGillibrand,2021-06-08T17:16:16.000Z,"Wishing a very happy birthday to @GabbyGiffords! Your bravery and determination inspires us every day, and I'm so lucky to call you my friend. https://t.co/u93sZYKe4d",$,$,GabbyGiffords,https://t.co/u93sZYKe4d
9917,9917,Kirsten Gillibrand,SenGillibrand,2021-06-07T22:24:22.000Z,RT @JoeBiden: The United States is the only industrialized country in the world with no national paid family leave policy. It’s a disgrace.…,JoeBiden,$,$,$
9918,9918,Kirsten Gillibrand,SenGillibrand,2021-06-07T21:57:26.000Z,"My bill to reform the military justice system and deliver justice to survivors of sexual assault has a bipartisan, filibuster-proof majority of support. It deserves a full floor vote now. #PassMJIIPA",$,PassMJIIPA,$,$
9919,9919,Kirsten Gillibrand,SenGillibrand,2021-06-07T21:11:08.000Z,"@cher No problem, @cher. Of course we can turn back time! 🎶",$,$,"cher, cher",$
9920,9920,Kirsten Gillibrand,SenGillibrand,2021-06-07T15:03:26.000Z,"Members of our armed forces are more likely to be sexually assaulted by someone wearing the same uniform than they are to be shot by the enemy.

Enough is enough. It's time to #PassMJIIPA and give survivors the justice they deserve. https://t.co/z4WrMZNnfg",$,PassMJIIPA,$,https://t.co/z4WrMZNnfg
9921,9921,Kirsten Gillibrand,SenGillibrand,2021-06-06T19:05:55.000Z,Pass the #EqualityAct. https://t.co/sadWfre9n2,$,EqualityAct,$,https://t.co/sadWfre9n2
9922,9922,Kirsten Gillibrand,SenGillibrand,2021-06-05T19:29:19.000Z,"Trans, non-binary, and intersex Americans should be able to get basic identification that reflects who they truly are. That's why I'm calling for all federal ID to include a gender-neutral option. #Pride https://t.co/Ip7Ncln9En",$,Pride,$,https://t.co/Ip7Ncln9En
9923,9923,Kirsten Gillibrand,SenGillibrand,2021-06-05T16:12:14.000Z,Happy National Trails Day! Where will you explore? ⛰️ https://t.co/r2u8xuadQa,$,$,$,https://t.co/r2u8xuadQa
9924,9924,Thom Tillis,SenThomTillis,2021-06-11T17:17:11.000Z,RT @RiponAdvance: North Carolina's @SenThomTillis this week called on U.S. Supreme Court Chief Justice John Roberts to help tackle the spir…,RiponAdvance,$,$,$
9925,9925,Thom Tillis,SenThomTillis,2021-06-11T15:02:46.000Z,Congrats to North Carolinian &amp; @USMMA_Baseball's Jack Millen - named Skyline Conference Rookie of the Year. Jack is only the 3rd Mid Shipman in the school's 77-year history to earn this award. Honored to nominate him to attend @UsmmaO. He is representing North Carolina well! 👏 https://t.co/61zQ8y2JAD https://t.co/q35JVqzjhW,$,$,"USMMA_Baseballs, UsmmaO","https://t.co/61zQ8y2JAD, https://t.co/q35JVqzjhW"
9926,9926,Thom Tillis,SenThomTillis,2021-06-10T18:23:52.000Z,Doctors and scientists across the world deserve robust protections that allow them to sound the alarm on international public health concerns without fear of government suppression.,$,$,$,$
