,Name,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links
1265,Tammy Duckworth,SenDuckworth,2021-06-20T14:05:35.000Z,"Happy Father's Day to all the fathers and father figures out there—including my husband, Bryan. Abigail, Maile Pearl and I are so lucky to have you.",",",",",",",","
1266,Tammy Duckworth,SenDuckworth,2021-06-19T16:17:04.000Z,"RT @USArmy: #Juneteenth.

Today is an historic day for all Americans and for Army Heritage. https://t.co/J8bhrD92s1",",USArmy,",",",",",","
1267,Tammy Duckworth,SenDuckworth,2021-06-19T16:12:07.000Z,"#Juneteenth is more than a celebration—it's a stark reminder that Black Americans are still wrestling with the injustices created by our nation's legacy of slavery.

Excited to be in Chicago today to honor Black history &amp; reaffirm the simple, undeniable truth: Black lives matter. https://t.co/P9NTYJJGom",",",",Juneteenth,",",",",https://t.co/P9NTYJJGom,"
1268,Todd Young,SenToddYoung,2021-06-20T16:34:45.000Z,Wishing my dad and fathers everywhere a happy #FathersDay today. https://t.co/cLULlV7u5g,",",",FathersDay,",",",",https://t.co/cLULlV7u5g,"
1269,Mike Braun,SenatorBraun,2021-06-19T16:48:04.000Z,RT @foxnewsradio: Senator Mike Braun (R-IN) On The Prospects Of A Bipartisan Infrastructure Deal https://t.co/TzdPjQWOWw https://t.co/NdfvN…,",foxnewsradio,",",",",",","
1270,Mike Braun,SenatorBraun,2021-06-19T16:47:25.000Z,"To me, it’s very simple.
https://t.co/x2KB4rphFk",",",",",",",",https://t.co/x2KB4rphFk,"
1271,Mike Braun,SenatorBraun,2021-06-19T16:45:47.000Z,"RT @indgop: Juneteenth celebrates the day in 1865 when African Americans in Galveston, Texas learned of their emancipation. https://t.co/tt…",",indgop,",",",",",","
1272,Chuck Grassley,ChuckGrassley,2021-06-20T19:42:16.000Z,This wkend 0.3 First rain in June which is normally wettest month. I put rain gauge up May 1. This yr total 4.6 compared to 11.8 in 2020. All of Iowa in drought except SE Iowa #cornwatch #soybeanwatch https://t.co/zdU4eOf8SS,",",",cornwatch,soybeanwatch,",",",",https://t.co/zdU4eOf8SS,"
1273,Chuck Grassley,ChuckGrassley,2021-06-19T17:50:14.000Z,Read Kimberly strassel column wsj Friday how courts are blocking many Biden executive orders The constitution chk &amp; balances working 2protect rule of law  Hopefully congress can also stop the progressive onslaught,",",",",",",","
1274,Chuck Grassley,ChuckGrassley,2021-06-19T17:37:00.000Z,Why is a big country like China so fearful of a little bit of land like Hong Kong is?,",",",",",",","
1275,Chuck Grassley,ChuckGrassley,2021-06-19T17:35:36.000Z,China arrests the editor &amp; ceo of the pro democracy newspaper Apple daily in Hong Kong When is China ever going to start respecting law? they won’t even respect the bilateral treaty they had w Britain in 1987 to turn Hong Kong back to China,",",",",",",","
1276,Chuck Grassley,ChuckGrassley,2021-06-19T16:11:12.000Z,Every day reports of how the open border policy of Pres Biden is enriching cartel bc no migrant can get in US w/o paying cartel All adding up to multi million $$ every wk Open borders also national security issue when we arrest ppl on our terrorist list,",",",",",",","
1277,Chuck Grassley,ChuckGrassley,2021-06-19T14:06:16.000Z,"20 inches #cornwatch Drought in Iowa. Corn under stress. My corn at same time last yr when had plenty rain was 28 inches. So far no rain in June @ New Hartford, Iowa https://t.co/ghgS7G7CEh",",",",cornwatch,",",,",",https://t.co/ghgS7G7CEh,"
1278,Chuck Grassley,ChuckGrassley,2021-06-19T13:44:59.000Z,"June 19, 1865 marks the day Union Major General Granger arrived in Galveston TX to enforce the emancipation of slaves 2 yrs after Lincoln signed the Emancipation Proclamation /Juneteenth is a celebration of the end of slavery &amp; African American culture #realhistorychannel",",",",realhistorychannel,",",",","
1279,Joni Ernst,SenJoniErnst,2021-06-20T22:58:56.000Z,"Amid the ongoing crisis at the southern border, I'm pressing the Biden Administration to publicly release their immigration plan. MORE ⬇️ https://t.co/zXFIEG5vfS",",",",",",",",https://t.co/zXFIEG5vfS,"
1280,Joni Ernst,SenJoniErnst,2021-06-20T19:21:26.000Z,"As a former local elections commissioner, I believe elections are always best kept at the state &amp; local level—and I will continue to push back on the Democrats’ attempts to federalize our elections. https://t.co/UMrEDkjpHa",",",",",",",",https://t.co/UMrEDkjpHa,"
1281,Joni Ernst,SenJoniErnst,2021-06-19T22:12:26.000Z,"Iowans, and all Americans, want sensible safeguards that protect our environment &amp; keep our nation’s water clean.

But what they don’t want is a one-size-fits-all, Washington power grab that makes it harder for Iowans to farm, ranch, and build. https://t.co/rzZAxheXrj",",",",",",",",https://t.co/rzZAxheXrj,"
1282,Joni Ernst,SenJoniErnst,2021-06-19T16:27:55.000Z,"To find the truth about COVID-19, we need to follow the science—and the money. WATCH ⬇️ https://t.co/sZ7wiXovaC",",",",",",",",https://t.co/sZ7wiXovaC,"
1283,Joni Ernst,SenJoniErnst,2021-06-19T13:42:33.000Z,(2/2) May we always strive to become a more perfect union and continue to promote freedom and justice for all. #Juneteenth,",",",Juneteenth,",",",","
1284,Joni Ernst,SenJoniErnst,2021-06-19T13:42:33.000Z,"(1/2) Last June I had an important &amp; helpful conversation w/U.S. Senate @Chaplain_Black about #Juneteenth.

Chaplain Black said then: “Juneteenth continues to remind us that we must ever be vigilant about freedom.”

I couldn’t agree more. Watch our convo ⬇️https://t.co/ecSLhxv3zD",",",",Juneteenth,",",Chaplain_Black,",","
1285,Jerry Moran,JerryMoran,2021-06-20T19:33:55.000Z,"Robba and I are praying for the recovery of the @WichitaPolice officer who was shot in the line of duty yesterday and for the entire Wichita Police Department who continue protecting and serving the Wichita community.
https://t.co/FCw2amlPti",",",",",",WichitaPolice,",",https://t.co/FCw2amlPti,"
